,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,ami,poverty_score,hotspot
14,482511304093,"Dallas-Fort Worth-Arlington, TX",1.0,2314.0,823.0,12676.8,47.0,56.0,51.0,21.0,26.0,24.0,26.0,30.0,28.0,10.63,0.69,2.22,2.0,2.0,26711.0,23629.0,25583.0,0.0,0.0,0.0,15582.0,14223.0,15031.0,12073.0,11119.0,11670.0,3509.0,3104.0,3361.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.9,0.26,0.06,3230.0,68.0,3681.0,84.0,122.0,14.0,2604,1058.0,1063.0,950.0,96.0,4.0,59930.769230769234,0.6904704068252746,True
16,481130021002,"Dallas-Fort Worth-Arlington, TX",1.0,848.0,578.0,99.57,46.0,55.0,50.0,33.0,41.0,36.0,13.0,15.0,14.0,4.62,26.84,1.08,1.0,1.0,10472.0,9184.0,9835.0,24.0,22.0,23.0,7828.0,6964.0,7421.0,5875.0,5226.0,5562.0,1376.0,1207.0,1292.0,577.0,531.0,568.0,582.0,536.0,573.0,9.7,8.3,140.96,5.8,43932.0,3.0,229643.0,97.0,2.0,559.0,408,1625.0,,1625.0,0.0,100.0,60215.38461538462,-1.0,False
17,481130031011,"Dallas-Fort Worth-Arlington, TX",1.0,1592.0,1054.0,116.79,39.0,47.0,43.0,26.0,33.0,29.0,13.0,14.0,14.0,4.36,39.39,1.06,1.0,1.0,11343.0,9952.0,10683.0,25.0,23.0,24.0,7859.0,6944.0,7439.0,5764.0,5082.0,5442.0,1490.0,1307.0,1403.0,605.0,554.0,594.0,611.0,559.0,599.0,9.6,8.3,53.42,9.03,39746.0,1.0,210668.0,96.0,3.0,488.0,436,1305.0,,1305.0,7.0,93.0,60453.846153846156,-1.0,False
21,481130031012,"Dallas-Fort Worth-Arlington, TX",1.0,1537.0,1037.0,116.43,43.0,52.0,47.0,30.0,38.0,33.0,13.0,15.0,14.0,4.8,42.73,1.04,1.0,1.0,12369.0,10883.0,11687.0,26.0,24.0,25.0,7932.0,6997.0,7515.0,5675.0,4993.0,5361.0,1625.0,1430.0,1535.0,632.0,574.0,619.0,638.0,579.0,624.0,9.6,8.3,106.94,8.91,36997.0,0.0,193610.0,96.0,2.0,473.0,360,1499.0,1963.0,1396.0,18.0,82.0,61015.38461538462,-1.0,False
22,481130018002,"Dallas-Fort Worth-Arlington, TX",1.0,2913.0,1923.0,149.74,45.0,54.0,49.0,31.0,39.0,35.0,14.0,15.0,14.0,4.55,58.49,1.15,1.0,1.0,11482.0,9852.0,10758.0,21.0,20.0,21.0,8271.0,7204.0,7776.0,6253.0,5429.0,5858.0,1508.0,1294.0,1413.0,510.0,481.0,504.0,515.0,486.0,509.0,9.7,8.2,52.62,12.84,51581.0,1.0,207027.0,96.0,4.0,312.0,491,1555.0,,1555.0,2.0,98.0,59078.57142857143,-1.0,False
27,481130021001,"Dallas-Fort Worth-Arlington, TX",1.0,826.0,550.0,143.82,34.0,41.0,37.0,21.0,26.0,23.0,13.0,15.0,14.0,4.44,16.98,1.09,1.0,1.0,10895.0,9662.0,10274.0,24.0,22.0,24.0,7968.0,7101.0,7561.0,5951.0,5293.0,5635.0,1431.0,1269.0,1350.0,586.0,539.0,577.0,591.0,544.0,582.0,9.7,8.3,53.97,3.82,40265.0,0.0,207526.0,96.0,2.0,654.0,389,1043.0,,1043.0,0.0,100.0,61292.307692307695,-1.0,False
39,481130017033,"Dallas-Fort Worth-Arlington, TX",1.0,1416.0,948.0,26.56,50.0,61.0,55.0,36.0,45.0,40.0,14.0,16.0,15.0,4.29,153.12,1.19,1.0,1.0,12691.0,10658.0,11857.0,20.0,18.0,20.0,8637.0,7455.0,8114.0,6477.0,5606.0,6075.0,1667.0,1400.0,1558.0,493.0,449.0,482.0,497.0,453.0,486.0,9.6,8.1,39.4,35.69,53476.0,0.0,215466.0,96.0,3.0,507.0,445,1799.0,2781.0,1551.0,20.0,80.0,61692.857142857145,-1.0,False
50,481130192131,"Dallas-Fort Worth-Arlington, TX",1.0,705.0,517.0,59.1,31.0,36.0,33.0,15.0,18.0,16.0,16.0,18.0,17.0,3.54,30.93,1.37,1.0,1.0,14264.0,12268.0,13423.0,12.0,11.0,12.0,9598.0,8437.0,9066.0,7432.0,6551.0,7012.0,1874.0,1612.0,1763.0,292.0,274.0,290.0,295.0,277.0,293.0,9.5,7.1,14.52,8.75,40315.0,0.0,81994.0,93.0,8.0,162.0,1087,729.0,,729.0,0.0,100.0,59987.5,-0.7591443178703636,False
52,481130204003,"Dallas-Fort Worth-Arlington, TX",1.0,2692.0,1289.0,410.79,39.0,47.0,43.0,25.0,31.0,27.0,14.0,16.0,15.0,4.92,15.43,1.2,1.0,1.0,12539.0,11099.0,11859.0,21.0,19.0,21.0,8675.0,7696.0,8228.0,6517.0,5766.0,6167.0,1647.0,1458.0,1558.0,510.0,472.0,503.0,515.0,476.0,507.0,9.6,8.3,26.91,3.14,35763.0,3.0,189878.0,96.0,4.0,393.0,547,1234.0,,1234.0,5.0,95.0,61964.28571428572,-1.0,False
53,481130019001,"Dallas-Fort Worth-Arlington, TX",1.0,2288.0,1446.0,105.19,63.0,77.0,69.0,49.0,61.0,54.0,15.0,16.0,15.0,4.73,65.02,1.2,1.0,1.0,13045.0,11204.0,12270.0,19.0,18.0,19.0,8744.0,7594.0,8234.0,6555.0,5680.0,6155.0,1714.0,1472.0,1612.0,475.0,442.0,467.0,479.0,447.0,471.0,9.5,8.3,41.1,13.75,47256.0,6.0,213338.0,96.0,4.0,329.0,486,2434.0,3672.0,2092.0,22.0,78.0,58293.333333333336,-0.8407102787926176,False
